name,author,format,book_depository_stars,price,isbn,category,img_paths
The Action Bible,Sergio Cariello,Hardback,4.5,18.34,9780781444996,Childrens-Books,dataset/Childrens-Books/0000936.jpg
There Was an Old Lady Who Swallowed a Fly,Pam Adams,Paperback,4.0,9.01,9780859530187,Childrens-Books,dataset/Childrens-Books/0000937.jpg
On the Night You Were Born,Nancy Tillman,Hardback,4.5,12.84,9780312346065,Childrens-Books,dataset/Childrens-Books/0000938.jpg
The Magic Faraway Tree,Enid Blyton,Paperback,4.5,6.0,9781405272209,Childrens-Books,dataset/Childrens-Books/0000939.jpg
Hattie and the Fox,Mem Fox,Paperback,4.0,11.66,9780689716119,Childrens-Books,dataset/Childrens-Books/0000940.jpg
Jesus Storybook Bible,Sally Lloyd-Jones,Hardback,5.0,14.6,9780310729945,Childrens-Books,dataset/Childrens-Books/0000941.jpg
Harry Potter and the Prisoner of Azkaban - Slytherin Edition,J.K. Rowling,Hardback,4.5,17.3,9781526606228,Childrens-Books,dataset/Childrens-Books/0000942.jpg
Prince of Thorns,Dr Mark Lawrence,Paperback,4.0,7.2,9781937007683,Childrens-Books,dataset/Childrens-Books/0000943.jpg
Peter Rabbit Classic Gift Set: Naturally Better,Beatrix Potter,Hardback,4.5,18.87,9780723264231,Childrens-Books,dataset/Childrens-Books/0000944.jpg
Ben and Holly's Little Kingdom: Little Library,Ladybird,Board book,4.0,7.21,9781409305323,Childrens-Books,dataset/Childrens-Books/0000945.jpg
The Very Hungry Caterpillar (Big Board Book),Eric Carle,Board book,4.5,11.82,9780141338484,Childrens-Books,dataset/Childrens-Books/0000946.jpg
Up and Down,Oliver Jeffers,Paperback,4.0,8.92,9780007263851,Childrens-Books,dataset/Childrens-Books/0000947.jpg
"Oh, The Places You'll Go!",Dr. Seuss,Paperback,4.5,6.77,9780008201487,Childrens-Books,dataset/Childrens-Books/0000948.jpg
Jolly Phonics Word Book,Sue Lloyd,Paperback,4.0,3.95,9781870946797,Childrens-Books,dataset/Childrens-Books/0000949.jpg
Harry Potter Hedwig Owl Kit and Sticker Book,Running Press,Paperback,4.5,5.56,9780762440627,Childrens-Books,dataset/Childrens-Books/0000950.jpg
City of Ghosts,Victoria Schwab,Paperback,4.0,7.01,9781407192765,Childrens-Books,dataset/Childrens-Books/0000951.jpg
You Get So Alone at Times,Charles Bukowski,Paperback,4.0,10.12,9780876856833,Childrens-Books,dataset/Childrens-Books/0000952.jpg
Charlotte's Web,E B White,Hardback,4.0,9.47,9780061124952,Childrens-Books,dataset/Childrens-Books/0000953.jpg
The Red Scrolls of Magic,Cassandra Clare,Hardback,4.5,14.51,9781471162138,Childrens-Books,dataset/Childrens-Books/0000954.jpg
The Map Colouring Book,Natalie Hughes,Paperback,5.0,13.31,9781780553610,Childrens-Books,dataset/Childrens-Books/0000955.jpg
Amazing You!,Gail Saltz,Paperback,4.0,6.55,9780142410585,Childrens-Books,dataset/Childrens-Books/0000956.jpg
"The Lion, the Witch and the Wardrobe",C. S. Lewis,Paperback,4.0,6.93,9780007323128,Childrens-Books,dataset/Childrens-Books/0000957.jpg
The Upside of Unrequited,Becky Albertalli,Paperback,4.0,8.31,9780141356112,Childrens-Books,dataset/Childrens-Books/0000958.jpg
Be Kind,Pat Zietlow Miller,Hardback,4.5,13.55,9781626723214,Childrens-Books,dataset/Childrens-Books/0000959.jpg
Chicka Chicka Boom Boom,Bill Martin,Board book,4.0,8.84,9781442450707,Childrens-Books,dataset/Childrens-Books/0000960.jpg
"The Magic School Bus, Lost in the Solar System",Joanna Cole,Paperback,4.5,6.13,9780590414296,Childrens-Books,dataset/Childrens-Books/0000961.jpg
Frozen: A Tale of Two Sisters,Melissa Lagonegro,Paperback,4.0,4.29,9780736431200,Childrens-Books,dataset/Childrens-Books/0000962.jpg
Letters from Father Christmas,J. R. R. Tolkien,Paperback,4.0,9.52,9780007280490,Childrens-Books,dataset/Childrens-Books/0000963.jpg
National Geographic Kids Readers: Volcanoes,National Geographic,Paperback,4.0,4.39,9781426302855,Childrens-Books,dataset/Childrens-Books/0000964.jpg
Hey Little Ant,Hannah Hoose,Hardback,4.0,12.72,9781883672546,Childrens-Books,dataset/Childrens-Books/0000965.jpg
Turtles All the Way Down,John Green,Paperback,4.0,8.13,9780141346045,Childrens-Books,dataset/Childrens-Books/0000966.jpg
Look Inside Cars,Rob Lloyd Jones,Paperback,4.5,10.57,9781409539506,Childrens-Books,dataset/Childrens-Books/0000967.jpg
Ten Little Fingers and Ten Little Toes,Mem Fox,Paperback,4.0,9.0,9781406319569,Childrens-Books,dataset/Childrens-Books/0000968.jpg
An Illustrated History of Notable Shadowhunters and Denizens of Downworld,Cassandra Clare,Hardback,4.5,14.8,9781471161193,Childrens-Books,dataset/Childrens-Books/0000969.jpg
The Wicked King (The Folk of the Air #2),Holly Black,Paperback,4.5,11.21,9781471408038,Childrens-Books,dataset/Childrens-Books/0000970.jpg
LEGO (R) Ninjago Character Encyclopedia,DK,Hardback,4.5,16.95,9781409375975,Childrens-Books,dataset/Childrens-Books/0000971.jpg
Doing It,Hannah Witton,Paperback,4.0,7.68,9781526360038,Childrens-Books,dataset/Childrens-Books/0000972.jpg
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Hardback,4.0,9.46,9780394800134,Childrens-Books,dataset/Childrens-Books/0000973.jpg
Champion,Marie Lu,Paperback,4.5,8.31,9780141339627,Childrens-Books,dataset/Childrens-Books/0000974.jpg
The Land of Stories: A Grimm Warning,Chris Colfer,Paperback,4.5,8.68,9780349124391,Childrens-Books,dataset/Childrens-Books/0000975.jpg
LEGO Make Your Own Movie,Pat Murphy,Mixed media product,4.5,13.71,9781338137200,Childrens-Books,dataset/Childrens-Books/0000976.jpg
The Monster at the End of This Book: Sesame Street,Jon Stone,Board book,4.5,4.58,9780375805615,Childrens-Books,dataset/Childrens-Books/0000977.jpg
Excellent Excuses (And Other Good Stuff),Liz Pichon,Paperback,4.5,12.84,9781407124407,Childrens-Books,dataset/Childrens-Books/0000978.jpg
My Completely Best Story Collection,Lauren Child,CD-Audio,4.0,7.57,9780141807157,Childrens-Books,dataset/Childrens-Books/0000979.jpg
The Infernal Devices 1: Clockwork Angel,Cassandra Clare,Hardback,4.5,17.17,9781406393279,Childrens-Books,dataset/Childrens-Books/0000980.jpg
Everything is Illuminated,Jonathan Safran Foer,Paperback,4.0,8.77,9780141008257,Childrens-Books,dataset/Childrens-Books/0000981.jpg
Who Was Albert Einstein?,Jess Brallier,Paperback,4.0,4.64,9780448424965,Childrens-Books,dataset/Childrens-Books/0000982.jpg
A Day at the Fire Station,Garth Williams,Paperback,4.0,8.01,9780307105455,Childrens-Books,dataset/Childrens-Books/0000983.jpg
We Are in a Book!,Mo Willems,Hardback,4.5,9.67,9781423133087,Childrens-Books,dataset/Childrens-Books/0000984.jpg
What to Do When You Dread Your Bed,Dawn Huebner,Paperback,4.5,15.27,9781433803185,Childrens-Books,dataset/Childrens-Books/0000985.jpg
The Midnight Gang,David Walliams,Paperback,4.5,9.3,9780008164621,Childrens-Books,dataset/Childrens-Books/0000986.jpg
1984,George Orwell,Paperback,4.0,7.88,9780141036144,Crime-Thriller,dataset/Crime-Thriller/0000001.jpg
Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,9781846041242,Crime-Thriller,dataset/Crime-Thriller/0000002.jpg
Animal Farm,George Orwell,Paperback,4.0,7.98,9780141036137,Crime-Thriller,dataset/Crime-Thriller/0000003.jpg
The Husband's Secret,Liane Moriarty,Paperback,4.0,9.33,9781405911665,Crime-Thriller,dataset/Crime-Thriller/0000004.jpg
Gone Girl,Gillian Flynn,Paperback,4.0,9.55,9781780221359,Crime-Thriller,dataset/Crime-Thriller/0000005.jpg
Ready Player One,Ernest Cline,Paperback,4.5,8.82,9780099560432,Crime-Thriller,dataset/Crime-Thriller/0000006.jpg
The Dry,Jane Harper,Paperback,4.0,8.64,9780349142111,Crime-Thriller,dataset/Crime-Thriller/0000007.jpg
Sister,Rosamund Lupton,Paperback,4.0,8.04,9780749942014,Crime-Thriller,dataset/Crime-Thriller/0000008.jpg
To Kill a Mockingbird,Harper Lee,Paperback,4.5,8.54,9780446310789,Crime-Thriller,dataset/Crime-Thriller/0000009.jpg
Room,Emma Donoghue,Paperback,4.0,8.05,9780330519021,Crime-Thriller,dataset/Crime-Thriller/0000010.jpg
Shantaram,Gregory David Roberts,Paperback,4.5,11.72,9780349117546,Crime-Thriller,dataset/Crime-Thriller/0000011.jpg
Big Little Lies,Liane Moriarty,Paperback,4.5,9.55,9781405916363,Crime-Thriller,dataset/Crime-Thriller/0000012.jpg
The Hate U Give,Angie Thomas,Paperback,4.5,8.0,9781406372151,Crime-Thriller,dataset/Crime-Thriller/0000013.jpg
The Girl on the Train,Paula Hawkins,Paperback,4.0,9.65,9780552779777,Crime-Thriller,dataset/Crime-Thriller/0000014.jpg
Bad Blood,John Carreyrou,Paperback,4.5,8.4,9781509868087,Crime-Thriller,dataset/Crime-Thriller/0000015.jpg
Six of Crows: Collector's Edition,Leigh Bardugo,Hardback,4.5,14.51,9781510106284,Crime-Thriller,dataset/Crime-Thriller/0000016.jpg
Gone Girl,Gillian Flynn,Paperback,4.0,9.18,9780753827666,Crime-Thriller,dataset/Crime-Thriller/0000017.jpg
Sharp Objects,Gillian Flynn,Paperback,4.0,8.25,9780804138321,Crime-Thriller,dataset/Crime-Thriller/0000018.jpg
The Curious Incident of the Dog in the Night-time,Mark Haddon,Paperback,4.0,8.7,9780099470434,Crime-Thriller,dataset/Crime-Thriller/0000019.jpg
Friend Request,Laura Marshall,Paperback,4.0,5.23,9780751568356,Crime-Thriller,dataset/Crime-Thriller/0000020.jpg
Six of Crows,Leigh Bardugo,Paperback,4.5,8.8,9781780622286,Crime-Thriller,dataset/Crime-Thriller/0000021.jpg
Behind Closed Doors,B. A. Paris,Paperback,4.0,8.39,9781848454125,Crime-Thriller,dataset/Crime-Thriller/0000022.jpg
Bloody Valentine,James Patterson,Paperback,3.5,3.66,9780099556756,Crime-Thriller,dataset/Crime-Thriller/0000023.jpg
Fifty Shades of Grey,E L James,Paperback,3.5,10.61,9780345803481,Crime-Thriller,dataset/Crime-Thriller/0000024.jpg
House of Leaves,Mark Z. Danielewski,Paperback,4.0,20.51,9780375703768,Crime-Thriller,dataset/Crime-Thriller/0000025.jpg
The Power,Naomi Alderman,Paperback,4.0,9.04,9780670919963,Crime-Thriller,dataset/Crime-Thriller/0000026.jpg
The Girl on the Train,Paula Hawkins,Paperback,4.0,7.55,9781784161101,Crime-Thriller,dataset/Crime-Thriller/0000027.jpg
Thirteen,Steve Cavanagh,Paperback,4.5,7.77,9781409170679,Crime-Thriller,dataset/Crime-Thriller/0000028.jpg
Mindhunter,John Douglas,Paperback,4.0,10.01,9781787460614,Crime-Thriller,dataset/Crime-Thriller/0000029.jpg
Animal Farm,George Orwell,Paperback,4.0,8.24,9780141182704,Crime-Thriller,dataset/Crime-Thriller/0000030.jpg
The Alice Network,Kate Quinn,Paperback,4.5,9.96,9780062654199,Crime-Thriller,dataset/Crime-Thriller/0000031.jpg
Nineteen Eighty-Four,George Orwell,Paperback,4.0,9.3,9780141187761,Crime-Thriller,dataset/Crime-Thriller/0000032.jpg
Burial Rites,Hannah Kent,Paperback,4.0,7.93,9781447233176,Crime-Thriller,dataset/Crime-Thriller/0000033.jpg
I See You,Clare Mackintosh,Paperback,4.0,8.79,9780751554144,Crime-Thriller,dataset/Crime-Thriller/0000034.jpg
A Darker Shade of Magic,V. E. Schwab,Paperback,4.0,8.39,9781783295401,Crime-Thriller,dataset/Crime-Thriller/0000035.jpg
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Paperback,4.0,10.06,9781408889510,Crime-Thriller,dataset/Crime-Thriller/0000036.jpg
Murder on the Orient Express,Agatha Christie,Paperback,4.0,5.91,9780007119318,Crime-Thriller,dataset/Crime-Thriller/0000037.jpg
The Shack,William P. Young,Paperback,4.0,7.69,9780340979495,Crime-Thriller,dataset/Crime-Thriller/0000038.jpg
Rivers of London,Ben Aaronovitch,Paperback,4.0,8.09,9780575097582,Crime-Thriller,dataset/Crime-Thriller/0000039.jpg
The Shining,Stephen King,Paperback,4.0,9.98,9780307743657,Crime-Thriller,dataset/Crime-Thriller/0000040.jpg
His Bloody Project,Graeme Macrae Burnet,Paperback,4.0,8.42,9781910192146,Crime-Thriller,dataset/Crime-Thriller/0000041.jpg
The Picture of Dorian Gray,Oscar Wilde,Paperback,4.0,3.59,9781853260155,Crime-Thriller,dataset/Crime-Thriller/0000042.jpg
Killing Floor,Lee Child,Paperback,4.0,9.69,9780553505405,Crime-Thriller,dataset/Crime-Thriller/0000043.jpg
Tripwire,Lee Child,Paperback,4.0,9.74,9780553811858,Crime-Thriller,dataset/Crime-Thriller/0000044.jpg
The Man in the High Castle,Philip K. Dick,Paperback,3.5,8.77,9780141186672,Crime-Thriller,dataset/Crime-Thriller/0000045.jpg
The Silkworm,Robert Galbraith,Paperback,4.0,9.38,9780751549263,Crime-Thriller,dataset/Crime-Thriller/0000046.jpg
Where the Crawdads Sing,Delia Owens,Hardback,4.5,13.66,9781472154644,Crime-Thriller,dataset/Crime-Thriller/0000047.jpg
It,Stephen King,Paperback,4.0,13.04,9781444707861,Crime-Thriller,dataset/Crime-Thriller/0000048.jpg
Dark Tower I: The Gunslinger,Stephen King,Paperback,4.0,7.54,9781444723441,Crime-Thriller,dataset/Crime-Thriller/0000049.jpg
Nine Perfect Strangers,Liane Moriarty,Paperback,3.5,9.41,9781405919463,Crime-Thriller,dataset/Crime-Thriller/0000050.jpg
Force of Nature,Jane Harper,Paperback,4.0,6.66,9780349142128,Crime-Thriller,dataset/Crime-Thriller/0000051.jpg
Past Tense,Lee Child,Paperback,4.0,16.01,9780593078204,Crime-Thriller,dataset/Crime-Thriller/0000052.jpg
Atlas Shrugged,Ayn Rand,Paperback,3.5,9.31,9780451191144,Crime-Thriller,dataset/Crime-Thriller/0000053.jpg
In Cold Blood,Truman Capote,Paperback,4.0,9.11,9780141182575,Crime-Thriller,dataset/Crime-Thriller/0000054.jpg
Red Notice,Bill Browder,Paperback,4.5,10.76,9780552170321,Crime-Thriller,dataset/Crime-Thriller/0000055.jpg
Career of Evil,Robert Galbraith,Paperback,4.0,9.39,9780751563597,Crime-Thriller,dataset/Crime-Thriller/0000056.jpg
Red Rising,Pierce Brown,Paperback,4.5,7.91,9781444758993,Crime-Thriller,dataset/Crime-Thriller/0000057.jpg
The Overstory,Richard Powers,Paperback,4.0,11.33,9781784708245,Crime-Thriller,dataset/Crime-Thriller/0000058.jpg
Afterwards,Rosamund Lupton,Paperback,4.0,5.73,9780749942168,Crime-Thriller,dataset/Crime-Thriller/0000059.jpg
Home Fire,Kamila Shamsie,Paperback,4.0,8.14,9781408886793,Crime-Thriller,dataset/Crime-Thriller/0000060.jpg
I Am Pilgrim,Terry Hayes,Paperback,4.0,13.71,9780552160964,Crime-Thriller,dataset/Crime-Thriller/0000061.jpg
Vicious,V. E. Schwab,Paperback,4.0,6.87,9781783290215,Crime-Thriller,dataset/Crime-Thriller/0000062.jpg
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,Paperback,4.0,4.83,9780349116754,Crime-Thriller,dataset/Crime-Thriller/0000063.jpg
Nineteen Eighty-Four,George Orwell,Paperback,4.0,8.07,9780141393049,Crime-Thriller,dataset/Crime-Thriller/0000064.jpg
The Visitor,Lee Child,Paperback,4.0,9.23,9780553811889,Crime-Thriller,dataset/Crime-Thriller/0000065.jpg
A Clockwork Orange,Anthony Burgess,Paperback,4.0,7.12,9780241951446,Crime-Thriller,dataset/Crime-Thriller/0000066.jpg
Die Trying,Lee Child,Paperback,4.0,9.69,9780553505412,Crime-Thriller,dataset/Crime-Thriller/0000067.jpg
And Then There Were None,Agatha Christie,Paperback,4.5,7.13,9780007136834,Crime-Thriller,dataset/Crime-Thriller/0000068.jpg
The Girl With All The Gifts,M. R. Carey,Paperback,4.0,7.58,9780356500157,Crime-Thriller,dataset/Crime-Thriller/0000069.jpg
Dark Places,Gillian Flynn,Paperback,4.0,8.78,9780804138338,Crime-Thriller,dataset/Crime-Thriller/0000070.jpg
You,Caroline Kepnes,Paperback,4.0,8.65,9781471137372,Crime-Thriller,dataset/Crime-Thriller/0000071.jpg
Persuader,Lee Child,Paperback,4.0,9.32,9780553813449,Crime-Thriller,dataset/Crime-Thriller/0000072.jpg
The Couple Next Door,Shari Lapena,Paperback,4.0,9.32,9780552173148,Crime-Thriller,dataset/Crime-Thriller/0000073.jpg
I Let You Go,Clare Mackintosh,Paperback,4.0,7.99,9780751554151,Crime-Thriller,dataset/Crime-Thriller/0000074.jpg
Without Fail,Lee Child,Paperback,4.0,9.79,9780553813432,Crime-Thriller,dataset/Crime-Thriller/0000075.jpg
The Girl With the Dragon Tattoo,Stieg Larsson,Paperback,4.0,6.71,9781849162883,Crime-Thriller,dataset/Crime-Thriller/0000076.jpg
Moon Over Soho,Ben Aaronovitch,Paperback,4.0,7.89,9780575097629,Crime-Thriller,dataset/Crime-Thriller/0000077.jpg
Echo Burning,Lee Child,Paperback,4.0,9.85,9780553813302,Crime-Thriller,dataset/Crime-Thriller/0000078.jpg
The Reluctant Fundamentalist,Mohsin Hamid,Paperback,3.5,8.52,9780141029542,Crime-Thriller,dataset/Crime-Thriller/0000079.jpg
Lethal White,Robert Galbraith,Paperback,4.5,17.58,9780751572865,Crime-Thriller,dataset/Crime-Thriller/0000080.jpg
A Gathering of Shadows,V. E. Schwab,Paperback,4.5,9.41,9781783295425,Crime-Thriller,dataset/Crime-Thriller/0000081.jpg
Big Sky,Kate Atkinson,Paperback,4.0,16.15,9780857526113,Crime-Thriller,dataset/Crime-Thriller/0000082.jpg
The Talented Mr Ripley,Patricia Highsmith,Paperback,4.0,4.79,9780099282877,Crime-Thriller,dataset/Crime-Thriller/0000083.jpg
The Girl in the Ice,Robert Bryndza,Paperback,4.0,7.3,9780751570656,Crime-Thriller,dataset/Crime-Thriller/0000084.jpg
Unnatural Causes,Dr Richard Shepherd,Paperback,4.5,9.45,9781405923538,Crime-Thriller,dataset/Crime-Thriller/0000085.jpg
The Pillars of the Earth,Ken Follett,Paperback,4.5,10.62,9780451166890,Crime-Thriller,dataset/Crime-Thriller/0000086.jpg
The Loving Husband,Christobel Kent,Paperback,3.0,5.61,9780751562415,Crime-Thriller,dataset/Crime-Thriller/0000087.jpg
The Lovely Bones,Alice Sebold,Paperback,4.0,7.5,9780330485388,Crime-Thriller,dataset/Crime-Thriller/0000088.jpg
Everything I Never Told You,Celeste Ng,Paperback,4.0,10.18,9780143127550,Crime-Thriller,dataset/Crime-Thriller/0000089.jpg
The Woman in the Window,A. J. Finn,Paperback,4.0,14.72,9780008234164,Crime-Thriller,dataset/Crime-Thriller/0000090.jpg
Dark Places,Gillian Flynn,Paperback,4.0,8.03,9780753827031,Crime-Thriller,dataset/Crime-Thriller/0000091.jpg
The Enemy,Lee Child,Paperback,4.0,9.67,9780553815856,Crime-Thriller,dataset/Crime-Thriller/0000092.jpg
The Stand,Stephen King,Paperback,4.5,12.62,9780307743688,Crime-Thriller,dataset/Crime-Thriller/0000093.jpg
And Then There Were None,Agatha Christie,Paperback,4.5,7.16,9780062073488,Crime-Thriller,dataset/Crime-Thriller/0000094.jpg
10 Minutes 38 Seconds in this Strange World,Elif Shafak,Hardback,4.0,14.84,9780241293867,Crime-Thriller,dataset/Crime-Thriller/0000095.jpg
The Girl in the Spider's Web,David Lagercrantz,Paperback,4.0,11.12,9781848667785,Crime-Thriller,dataset/Crime-Thriller/0000096.jpg
The Martian,Andy Weir,Paperback,4.5,13.56,9780553418026,Crime-Thriller,dataset/Crime-Thriller/0000097.jpg
Where the Crawdads Sing,Delia Owens,Paperback,4.5,16.68,9781472154651,Crime-Thriller,dataset/Crime-Thriller/0000098.jpg
The Woman in the Window,A. J. Finn,Paperback,4.0,9.47,9780008234188,Crime-Thriller,dataset/Crime-Thriller/0000099.jpg
Animal Farm and 1984,George Orwell,Hardback,4.5,20.87,9780151010264,Crime-Thriller,dataset/Crime-Thriller/0000100.jpg
The Last Anniversary,Liane Moriarty,Paperback,3.5,9.27,9781405918510,Crime-Thriller,dataset/Crime-Thriller/0000101.jpg
The Institute,Stephen King,Hardback,4.0,17.8,9781529355390,Crime-Thriller,dataset/Crime-Thriller/0000102.jpg
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Paperback,4.0,9.5,9780141025186,Crime-Thriller,dataset/Crime-Thriller/0000103.jpg
It,Stephen King,Paperback,4.0,14.73,9781473666948,Crime-Thriller,dataset/Crime-Thriller/0000104.jpg
Beartown,Fredrik Backman,Paperback,4.5,9.16,9781405930208,Crime-Thriller,dataset/Crime-Thriller/0000105.jpg
Lethal White,Robert Galbraith,Paperback,4.5,9.92,9780751572872,Crime-Thriller,dataset/Crime-Thriller/0000106.jpg
The Double Comfort Safari Club,Alexander McCall Smith,Paperback,4.0,6.45,9780349119991,Crime-Thriller,dataset/Crime-Thriller/0000107.jpg
Elizabeth is Missing,Emma Healey,Paperback,3.5,8.79,9780241968185,Crime-Thriller,dataset/Crime-Thriller/0000108.jpg
The Name Of The Rose,Umberto Eco,Paperback,4.0,6.68,9780099466031,Crime-Thriller,dataset/Crime-Thriller/0000109.jpg
Eileen,Ottessa Moshfegh,Paperback,3.5,9.12,9781784701468,Crime-Thriller,dataset/Crime-Thriller/0000110.jpg
The Midnight Line,Lee Child,Paperback,4.0,15.8,9780593078174,Crime-Thriller,dataset/Crime-Thriller/0000111.jpg
The Girl Who Takes an Eye for an Eye,David Lagercrantz,Paperback,4.0,8.14,9780857056436,Crime-Thriller,dataset/Crime-Thriller/0000112.jpg
Golden Son,Pierce Brown,Paperback,4.5,10.98,9781444759037,Crime-Thriller,dataset/Crime-Thriller/0000113.jpg
Wool,Hugh Howey,Paperback,4.0,11.02,9780099580485,Crime-Thriller,dataset/Crime-Thriller/0000114.jpg
The Gift,Louise Jensen,Paperback,4.0,8.33,9780751570588,Crime-Thriller,dataset/Crime-Thriller/0000115.jpg
A Discovery of Witches,Deborah Harkness,Paperback,4.0,10.62,9780143119678,Crime-Thriller,dataset/Crime-Thriller/0000116.jpg
Hotel K,Kathryn Bonella,Paperback,4.0,8.41,9780857382696,Crime-Thriller,dataset/Crime-Thriller/0000117.jpg
"My Sister, the Serial Killer",Oyinkan Braithwaite,Hardback,4.0,12.44,9781786495976,Crime-Thriller,dataset/Crime-Thriller/0000118.jpg
Animal Farm,George Orwell,Paperback,4.0,6.77,9780451526342,Crime-Thriller,dataset/Crime-Thriller/0000119.jpg
The Dinner,Herman Koch,Paperback,3.0,8.66,9780857897206,Crime-Thriller,dataset/Crime-Thriller/0000120.jpg
The Man in the High Castle,Philip K. Dick,Paperback,3.5,8.42,9780241968093,Crime-Thriller,dataset/Crime-Thriller/0000121.jpg
The Silent Patient,Alex Michaelides,Paperback,4.0,15.47,9781409181620,Crime-Thriller,dataset/Crime-Thriller/0000122.jpg
Codename Villanelle,Luke Jennings,Paperback,3.5,7.3,9781473666412,Crime-Thriller,dataset/Crime-Thriller/0000123.jpg
The Hard Way,Lee Child,Paperback,4.0,10.34,9780553815870,Crime-Thriller,dataset/Crime-Thriller/0000124.jpg
The Ministry of Utmost Happiness,Arundhati Roy,Hardback,3.5,31.64,9780241303979,Crime-Thriller,dataset/Crime-Thriller/0000125.jpg
The Dark Tower II: The Drawing Of The Three,Stephen King,Paperback,4.0,9.72,9781444723458,Crime-Thriller,dataset/Crime-Thriller/0000126.jpg
The Late Show,Michael Connelly,Paperback,4.0,8.13,9781409147558,Crime-Thriller,dataset/Crime-Thriller/0000127.jpg
Ancillary Justice,Ann Leckie,Paperback,4.0,8.15,9780356502403,Crime-Thriller,dataset/Crime-Thriller/0000128.jpg
Jurassic Park,Michael Crichton,Paperback,4.0,7.7,9780345370778,Crime-Thriller,dataset/Crime-Thriller/0000129.jpg
The Dispossessed,Ursula K. Le Guin,Paperback,4.0,5.42,9781857988826,Crime-Thriller,dataset/Crime-Thriller/0000130.jpg
Origin,Dan Brown,Paperback,4.0,9.28,9780552175692,Crime-Thriller,dataset/Crime-Thriller/0000131.jpg
The Fountainhead,Ayn Rand,Paperback,4.0,10.99,9780451191151,Crime-Thriller,dataset/Crime-Thriller/0000132.jpg
11.22.63,Stephen King,Paperback,4.5,11.07,9781444727333,Crime-Thriller,dataset/Crime-Thriller/0000133.jpg
Foxglove Summer,Ben Aaronovitch,Paperback,4.0,5.14,9780575132528,Crime-Thriller,dataset/Crime-Thriller/0000134.jpg
'salem's Lot,Stephen King,Paperback,4.0,9.98,9780307743671,Crime-Thriller,dataset/Crime-Thriller/0000135.jpg
Gone Girl,Gillian Flynn,Paperback,4.0,9.18,9781780228228,Crime-Thriller,dataset/Crime-Thriller/0000136.jpg
Running Blind,Lee Child,Paperback,4.0,9.7,9780515143508,Crime-Thriller,dataset/Crime-Thriller/0000137.jpg
The Breakdown: The gripping thriller from the bestselling author of Behind Closed Doors,B. A. Paris,Paperback,4.0,8.08,9781848454996,Crime-Thriller,dataset/Crime-Thriller/0000138.jpg
The Girl Who Lived Twice,David Lagercrantz,Paperback,4.0,17.08,9780857056375,Crime-Thriller,dataset/Crime-Thriller/0000139.jpg
Elevation,Stephen King,Hardback,3.5,11.29,9781473691520,Crime-Thriller,dataset/Crime-Thriller/0000140.jpg
Bad Luck And Trouble,Lee Child,Paperback,4.0,9.69,9780553818109,Crime-Thriller,dataset/Crime-Thriller/0000141.jpg
The Lost Man,Jane Harper,Paperback,4.0,8.46,9780349142135,Crime-Thriller,dataset/Crime-Thriller/0000142.jpg
The Handmaid's Tale,Margaret Atwood,Paperback,4.0,10.59,9780385490818,Crime-Thriller,dataset/Crime-Thriller/0000143.jpg
The Bat,Jo Nesbo,Paperback,3.5,7.91,9780099581871,Crime-Thriller,dataset/Crime-Thriller/0000144.jpg
The Blackhouse,Peter May,Paperback,4.0,9.12,9781849163866,Crime-Thriller,dataset/Crime-Thriller/0000145.jpg
The Passage,Justin Cronin,Paperback,4.0,11.25,9780752883304,Crime-Thriller,dataset/Crime-Thriller/0000146.jpg
The Saturday Big Tent Wedding Party,Alexander McCall Smith,Paperback,4.0,7.35,9780349123134,Crime-Thriller,dataset/Crime-Thriller/0000147.jpg
The Affair,Lee Child,Paperback,4.0,8.33,9780553825510,Crime-Thriller,dataset/Crime-Thriller/0000148.jpg
Knife,Jo Nesbo,Paperback,4.5,16.4,9781787300774,Crime-Thriller,dataset/Crime-Thriller/0000149.jpg
One Shot,Lee Child,Paperback,4.0,9.17,9780553815863,Crime-Thriller,dataset/Crime-Thriller/0000150.jpg
The Redbreast,Jo Nesbo,Paperback,4.0,11.38,9780099546771,Crime-Thriller,dataset/Crime-Thriller/0000151.jpg
The Night Stalker,Robert Bryndza,Paperback,4.0,5.16,9780751571295,Crime-Thriller,dataset/Crime-Thriller/0000152.jpg
Broken Homes,Ben Aaronovitch,Paperback,4.0,5.09,9780575132481,Crime-Thriller,dataset/Crime-Thriller/0000153.jpg
Vicious,V. E. Schwab,Hardback,4.0,16.8,9781785658679,Crime-Thriller,dataset/Crime-Thriller/0000154.jpg
Still Life,Louise Penny,Paperback,4.0,5.53,9780751547382,Crime-Thriller,dataset/Crime-Thriller/0000155.jpg
Pet Sematary,Stephen King,Paperback,4.0,9.66,9781444708134,Crime-Thriller,dataset/Crime-Thriller/0000156.jpg
Holding,Graham Norton,Paperback,4.0,7.71,9781444791983,Crime-Thriller,dataset/Crime-Thriller/0000157.jpg
The Slap,Christos Tsiolkas,Paperback,3.0,9.63,9781848873568,Crime-Thriller,dataset/Crime-Thriller/0000158.jpg
